cycle, src_component, src_port, dst_component, dst_port, state, data
1, lhs_in_buf_dataT, 0, lhs_res_mux, 2, stall, u
1, cond, 0, in_fork_cond, 0, stall, 1
1, rhs_in_buf_cond, 0, rhs_ctrl_mux, 2, stall, 1
1, rhs_ctrl_mux2, 0, rhs_passer, 1, transfer, 1
1, in_fork_ctrl, 0, lhs_in_buf_ctrl, 0, accept, 1
1, in_fork_dataT, 1, rhs_in_buf_dataT, 0, idle, u
2, in_fork_cond, 0, lhs_in_buf_cond, 0, accept, 1
2, rhs_ctrl_fork, 0, rhs_ctrl_mux, 1, transfer, 1
2, rhs_data_mux, 0, rhs_passer, 0, idle, u
2, rhs_initop2, 0, rhs_mux_passer_ctrl, 0, stall, 1
2, dataF, 2, in_fork_dataF, 0, stall, u
2, rhs_ctrl_passer, 0, rhs_initop, 0, accept, 1
2, lhs_dataF_passer, 0, lhs_res_mux, 1, accept, u
2, rhs_init_fork, 0, rhs_ctrl_mux2, 0, accept, 1
2, out_eq_res, 0, EQ_res, 0, accept, u
2, lhs_in_buf_cond, 0, lhs_initop, 0, transfer, 1
2, rhs_ctrl_muxed_fork, 1, rhs_initop2, 0, transfer, 1
2, rhs_ctrl_not, 0, rhs_mux_passer_ctrl, 1, accept, 0
2, rhs_ctrl_fork, 2, rhs_ctrl_not, 0, accept, 1
2, rhs_in_buf_dataF, 0, rhs_data_mux, 1, stall, u
2, rhs_in_buf_ctrl, 0, rhs_ctrl_fork, 0, transfer, 1
2, lhs_in_buf_ctrl, 0, lhs_dataF_passer, 1, accept, 1
2, lhs_out_bl_res, 0, out_eq_res, 0, stall, u
2, rhs_ctrl_mux, 0, rhs_ctrl_muxed_fork, 0, transfer, 1
2, in_fork_cond, 1, rhs_in_buf_cond, 0, stall, 1
2, lhs_initop, 0, lhs_res_mux, 0, stall, 1
2, rhs_out_bl_res, 0, out_eq_res, 1, accept, u
2, lhs_in_buf_dataF, 0, lhs_dataF_passer, 0, stall, u
2, lhs_res_mux, 0, lhs_out_bl_res, 0, stall, u
2, rhs_ctrl_init, 0, rhs_ctrl_mux, 0, transfer, 0
2, rhs_ctrl_fork, 1, rhs_ctrl_mux2, 1, accept, 1
2, rhs_ctrl_muxed_fork, 0, rhs_buff, 0, idle, 1
2, out_buf_lhs_nds_res, 0, lhs_out_bl_res, 1, stall, 
2, ctrl, 3, in_fork_ctrl, 0, transfer, 1
2, in_fork_dataF, 0, lhs_in_buf_dataF, 0, idle, u
2, rhs_buff, 0, rhs_ctrl_init, 0, stall, 1
2, rhs_init_fork, 1, rhs_data_mux, 0, accept, 1
2, out_buf_rhs_nds_res, 0, rhs_out_bl_res, 1, stall, 
2, rhs_mux_passer_ctrl, 0, rhs_ctrl_passer, 1, stall, 1
2, out_lf_res, 0, out_buf_lhs_nds_res, 0, idle, 
2, rhs_passer, 0, rhs_out_bl_res, 0, accept, u
2, rhs_initop, 0, rhs_init_fork, 0, accept, 1
2, in_fork_ctrl, 1, rhs_in_buf_ctrl, 0, transfer, 1
2, rhs_ctrl_muxed_fork, 2, rhs_ctrl_passer, 0, accept, 1
2, in_fork_dataF, 1, rhs_in_buf_dataF, 0, idle, u
2, out_lf_res, 1, out_buf_rhs_nds_res, 0, idle, 
2, rhs_ctrl_mux2, 0, rhs_passer, 1, idle, 1
2, in_fork_ctrl, 0, lhs_in_buf_ctrl, 0, transfer, 1
2, out_src_res, 0, out_lf_res, 0, stall, 
3, rhs_constant2, 0, rhs_mux_passer_ctrl, 2, transfer, 1
3, rhs_ctrl_fork, 0, rhs_ctrl_mux, 1, stall, 1
3, rhs_data_mux, 0, rhs_passer, 0, transfer, u
3, rhs_initop2, 0, rhs_mux_passer_ctrl, 0, transfer, 1
3, rhs_init_fork, 0, rhs_ctrl_mux2, 0, transfer, 1
3, rhs_ctrl_passer, 0, rhs_initop, 0, transfer, 1
3, lhs_dataF_passer, 0, lhs_res_mux, 1, stall, u
3, out_eq_res, 0, EQ_res, 0, transfer, u
3, rhs_in_buf_dataT, 0, rhs_data_mux, 2, transfer, u
3, lhs_in_buf_cond, 0, lhs_initop, 0, idle, 1
3, rhs_ctrl_muxed_fork, 1, rhs_initop2, 0, stall, 1
3, rhs_ctrl_not, 0, rhs_mux_passer_ctrl, 1, stall, 0
3, dataT, 1, in_fork_dataT, 0, transfer, u
3, rhs_ctrl_fork, 2, rhs_ctrl_not, 0, stall, 1
3, rhs_in_buf_ctrl, 0, rhs_ctrl_fork, 0, stall, 1
3, lhs_in_buf_ctrl, 0, lhs_dataF_passer, 1, stall, 1
3, in_fork_dataT, 0, lhs_in_buf_dataT, 0, transfer, u
3, lhs_out_bl_res, 0, out_eq_res, 0, transfer, u
3, rhs_ctrl_mux, 0, rhs_ctrl_muxed_fork, 0, stall, 1
3, lhs_initop, 0, lhs_res_mux, 0, transfer, 1
3, rhs_source, 0, rhs_constant, 0, transfer, 
3, rhs_out_bl_res, 0, out_eq_res, 1, transfer, u
3, lhs_res_mux, 0, lhs_out_bl_res, 0, transfer, u
3, rhs_ctrl_init, 0, rhs_ctrl_mux, 0, stall, 1
3, rhs_ctrl_fork, 1, rhs_ctrl_mux2, 1, stall, 1
3, rhs_ctrl_muxed_fork, 0, rhs_buff, 0, transfer, 1
3, out_buf_lhs_nds_res, 0, lhs_out_bl_res, 1, transfer, 
3, ctrl, 3, in_fork_ctrl, 0, stall, 0
3, rhs_buff, 0, rhs_ctrl_init, 0, transfer, 1
3, rhs_init_fork, 1, rhs_data_mux, 0, transfer, 1
3, out_buf_rhs_nds_res, 0, rhs_out_bl_res, 1, transfer, 
3, rhs_source2, 0, rhs_constant2, 0, transfer, 
3, rhs_mux_passer_ctrl, 0, rhs_ctrl_passer, 1, transfer, 1
3, out_lf_res, 0, out_buf_lhs_nds_res, 0, transfer, 
3, rhs_passer, 0, rhs_out_bl_res, 0, transfer, u
3, rhs_initop, 0, rhs_init_fork, 0, transfer, 1
3, rhs_constant, 0, rhs_ctrl_mux2, 2, transfer, 1
3, in_fork_ctrl, 1, rhs_in_buf_ctrl, 0, idle, 0
3, rhs_ctrl_muxed_fork, 2, rhs_ctrl_passer, 0, transfer, 1
3, lhs_in_buf_dataT, 0, lhs_res_mux, 2, transfer, u
3, out_lf_res, 1, out_buf_rhs_nds_res, 0, transfer, 
3, rhs_ctrl_mux2, 0, rhs_passer, 1, transfer, 1
3, in_fork_ctrl, 0, lhs_in_buf_ctrl, 0, idle, 0
3, out_src_res, 0, out_lf_res, 0, transfer, 
3, in_fork_dataT, 1, rhs_in_buf_dataT, 0, transfer, u
4, rhs_constant2, 0, rhs_mux_passer_ctrl, 2, stall, 1
4, in_fork_cond, 0, lhs_in_buf_cond, 0, transfer, 1
4, rhs_data_mux, 0, rhs_passer, 0, idle, u
4, rhs_initop2, 0, rhs_mux_passer_ctrl, 0, stall, 1
4, rhs_init_fork, 0, rhs_ctrl_mux2, 0, accept, 1
4, rhs_ctrl_passer, 0, rhs_initop, 0, accept, 1
4, out_eq_res, 0, EQ_res, 0, accept, u
4, rhs_in_buf_dataT, 0, rhs_data_mux, 2, stall, u
4, lhs_in_buf_cond, 0, lhs_initop, 0, accept, 1
4, rhs_ctrl_muxed_fork, 1, rhs_initop2, 0, transfer, 1
4, dataT, 1, in_fork_dataT, 0, idle, u
4, in_fork_dataT, 0, lhs_in_buf_dataT, 0, idle, u
4, lhs_out_bl_res, 0, out_eq_res, 0, idle, u
4, rhs_ctrl_mux, 0, rhs_ctrl_muxed_fork, 0, transfer, 1
4, in_fork_cond, 1, rhs_in_buf_cond, 0, transfer, 1
